material,model,level,DeltaE,JOD,class
acrylic_felt_orange_rgb_1,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_2,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_3,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_4,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_5,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_6,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_7,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_8,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_9,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_10,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_11,ward,0,31.7718620300293,5.07366621972763,2
acrylic_felt_orange_rgb_12,hbrdf,2,24.1529369354248,6.0747705881461,3
acrylic_felt_orange_rgb_13,hbrdf,2,24.1529369354248,6.0747705881461,3
acrylic_felt_orange_rgb_14,hbrdf,2,24.1529369354248,6.0747705881461,3
acrylic_felt_orange_rgb_15,hbrdf,2,24.1529369354248,6.0747705881461,3
acrylic_felt_orange_rgb_16,hbrdf,2,24.1529369354248,6.0747705881461,3
acrylic_felt_orange_rgb_17,ggx,0,18.2698650360107,7.0614927244426,4
acrylic_felt_orange_rgb_18,ggx,0,18.2698650360107,7.0614927244426,4
acrylic_felt_orange_rgb_19,ggx,0,18.2698650360107,7.0614927244426,4
acrylic_felt_orange_rgb_20,sbrdf,1,11.8940296173096,8.32990273253175,5
acrylic_felt_orange_rgb_21,sbrdf,2,10.1924448013306,8.68359768582866,5
acrylic_felt_orange_rgb_22,sbrdf,1,11.8940296173096,8.32990273253175,5
acrylic_felt_orange_rgb_23,sbrdf,2,10.1924448013306,8.68359768582866,5
acrylic_felt_orange_rgb_24,sbrdf,1,11.8940296173096,8.32990273253175,5
acrylic_felt_orange_rgb_25,sbrdf,2,10.1924448013306,8.68359768582866,5
acrylic_felt_orange_rgb_26,sbrdf,0,4.79707813262939,9.67471260784422,6
acrylic_felt_orange_rgb_27,nbrdf,0,3.89958310127258,9.79184527238514,6
acrylic_felt_orange_rgb_28,hbrdf,0,5.29921197891235,9.60050736027435,6
acrylic_felt_orange_rgb_29,hbrdf,1,6.03818464279175,9.48173556464249,6
acrylic_felt_pink_rgb_1,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_2,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_3,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_4,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_5,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_6,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_7,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_8,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_9,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_10,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_11,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_12,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_13,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_14,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_15,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_16,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_17,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_18,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_19,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_20,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_21,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_22,ward,0,33.9591445922852,4.83541888403084,1
acrylic_felt_pink_rgb_23,ward,0,33.9591445922852,4.83541888403084,1
